测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p2,p4,Hz,1.883945662,0.288500011,0.29,1,3
p2,p4,Vertical,1.571679716,0.288500011,0.29,1,3
p2,p4,Sdist,69.45200016,0.288500011,0.29,1,3
p2,p4,Hz,1.88393345,0.288500011,0.289,1,3
p2,p4,Vertical,1.571657485,0.288500011,0.289,1,3
p2,p4,Sdist,69.45200016,0.288500011,0.289,1,3
p2,p4,Hz,1.883944455,0.288500011,0.289,1,3
p2,p4,Vertical,1.571677706,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p4,Hz,1.883943584,0.288500011,0.289,1,3
p2,p4,Vertical,1.571666656,0.288500011,0.289,1,3
p2,p4,Sdist,69.45210017,0.288500011,0.289,1,3
p2,p4,Hz,1.883940368,0.288500011,0.289,1,3
p2,p4,Vertical,1.5716646,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p4,Hz,1.883944917,0.288500011,0.289,1,3
p2,p4,Vertical,1.57167686,0.288500011,0.289,1,3
p2,p4,Sdist,69.45190016,0.288500011,0.289,1,3
p2,p4,Hz,1.883940167,0.288500011,0.289,1,3
p2,p4,Vertical,1.571672506,0.288500011,0.289,1,3
p2,p4,Sdist,69.45200016,0.288500011,0.289,1,3
p2,p4,Hz,1.883942508,0.288500011,0.289,1,3
p2,p4,Vertical,1.571670552,0.288500011,0.289,1,3
p2,p4,Sdist,69.45170016,0.288500011,0.289,1,3
p2,p4,Hz,1.883945175,0.288500011,0.289,1,3
p2,p4,Vertical,1.571663258,0.288500011,0.289,1,3
p2,p4,Sdist,69.45190016,0.288500011,0.289,1,3
p2,p4,Hz,1.883938021,0.288500011,0.289,1,3
p2,p4,Vertical,1.571670247,0.288500011,0.289,1,3
p2,p4,Sdist,69.45190016,0.288500011,0.289,1,3
p2,p4,Hz,1.883942263,0.288500011,0.289,1,3
p2,p4,Vertical,1.571665803,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p4,Hz,1.883941237,0.288500011,0.289,1,3
p2,p4,Vertical,1.571672186,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p4,Hz,1.883941196,0.288500011,0.289,1,3
p2,p4,Vertical,1.571666797,0.288500011,0.289,1,3
p2,p4,Sdist,69.45170016,0.288500011,0.289,1,3
p2,p4,Hz,1.883948291,0.288500011,0.289,1,3
p2,p4,Vertical,1.571674166,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p4,Hz,1.883948689,0.288500011,0.289,1,3
p2,p4,Vertical,1.571665745,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p4,Hz,1.883946759,0.288500011,0.289,1,3
p2,p4,Vertical,1.571672816,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p4,Hz,1.883945128,0.288500011,0.289,1,3
p2,p4,Vertical,1.571662681,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
p2,p1,Hz,0.1745381,0.288500011,0.29,1,0
p2,p1,Vertical,1.568927971,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174543683,0.288500011,0.29,1,0
p2,p1,Vertical,1.568964781,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174546091,0.288500011,0.29,1,0
p2,p1,Vertical,1.56892154,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174529193,0.288500011,0.29,1,0
